product_name                       , category         , brand  , model_number, cost_price, competitor_price, stock, demand_score, current_price
LG LG-HZ906 Smartwatch             , Smartwatch       , LG     , LG-HZ906    ,      29615,                 ,   150,           10,         32289
JBL JBL-UR916 Earbuds              , Earbuds          , JBL    , JBL-UR916   ,       2719,                 ,   167,            2,          3019
Boat BOA-AB733 Camera              , Camera           , Boat   , BOA-AB733   ,      23512,                 ,    72,           17,         25666
Samsung SAM-PR937 Smartwatch       , Smartwatch       , Samsung, SAM-PR937   ,      22208,                 ,   151,           38,         27286
Sony SON-NK621 Smartwatch          , Smartwatch       , Sony   , SON-NK621   ,      29614,                 ,    94,           49,         38151
Sony SON-MK522 Bluetooth Speaker   , Bluetooth Speaker, Sony   , SON-MK522   ,      18988,                 ,   235,           50,         24668
Xiaomi XIA-ZH941 Smart TV          , Smart TV         , Xiaomi , XIA-ZH941   ,      87444,                 ,   136,           34,        110989
Apple APP-LX406 Camera             , Camera           , Apple  , APP-LX406   ,      99555,                 ,     0,           40,        115858
Dell DEL-RS522 Camera              , Camera           , Dell   , DEL-RS522   ,      58925,                 ,    92,           72,         62721
Lenovo LEN-EJ297 Laptop            , Laptop           , Lenovo , LEN-EJ297   ,      66832,                 ,    59,           30,         85220
Boat BOA-AO385 Laptop              , Laptop           , Boat   , BOA-AO385   ,     111740,                 ,    82,           78,        123575
Apple APP-BK744 Smartwatch         , Smartwatch       , Apple  , APP-BK744   ,      10577,                 ,    88,           42,         13986
Canon CAN-BZ646 Smart TV           , Smart TV         , Canon  , CAN-BZ646   ,      63303,                 ,   103,           14,         75051
Sony SON-WU619 Earbuds             , Earbuds          , Sony   , SON-WU619   ,       7443,                 ,   165,           97,          8848
JBL JBL-XB111 Smart TV             , Smart TV         , JBL    , JBL-XB111   ,      38574,                 ,   144,           97,         47185
Xiaomi XIA-IY882 Earbuds           , Earbuds          , Xiaomi , XIA-IY882   ,       3554,                 ,   205,           53,          4141
JBL JBL-HQ606 Bluetooth Speaker    , Bluetooth Speaker, JBL    , JBL-HQ606   ,       4687,                 ,    38,           51,          5243
Canon CAN-ER768 Smartwatch         , Smartwatch       , Canon  , CAN-ER768   ,      11389,                 ,   134,           51,         15169
Samsung SAM-VA065 Smartwatch       , Smartwatch       , Samsung, SAM-VA065   ,      27519,                 ,   243,           15,         34622
Xiaomi XIA-TK646 Bluetooth Speaker , Bluetooth Speaker, Xiaomi , XIA-TK646   ,       6788,                 ,   221,           27,          8136
Lenovo LEN-YM862 Earbuds           , Earbuds          , Lenovo , LEN-YM862   ,        919,                 ,   184,           97,          1240
Samsung SAM-EK431 Mobile           , Mobile           , Samsung, SAM-EK431   ,      38154,                 ,   195,           86,         48577
Dell DEL-TW913 Camera              , Camera           , Dell   , DEL-TW913   ,      74201,                 ,   122,           74,         94883
Apple APP-IM220 Smartwatch         , Smartwatch       , Apple  , APP-IM220   ,      14104,                 ,   140,           31,         15244
LG LG-WK998 Earbuds                , Earbuds          , LG     , LG-WK998    ,       5410,                 ,   215,           52,          7054
Dell DEL-EE948 Smartwatch          , Smartwatch       , Dell   , DEL-EE948   ,      10863,                 ,   135,            5,         13043
Samsung SAM-CK425 Smart TV         , Smart TV         , Samsung, SAM-CK425   ,      34382,                 ,   172,            2,         40319
Samsung SAM-HP862 Mobile           , Mobile           , Samsung, SAM-HP862   ,      22478,                 ,   163,           36,         27637
Apple APP-LW773 Mobile             , Mobile           , Apple  , APP-LW773   ,      39561,                 ,    68,           20,         44527
Samsung SAM-OF505 Smart TV         , Smart TV         , Samsung, SAM-OF505   ,      34153,                 ,   133,           72,         39370
JBL JBL-HZ619 Camera               , Camera           , JBL    , JBL-HZ619   ,      70318,                 ,    45,           12,         83580
Dell DEL-UI971 Smart TV            , Smart TV         , Dell   , DEL-UI971   ,      37368,                 ,   103,           60,         42106
LG LG-NB134 Smartwatch             , Smartwatch       , LG     , LG-NB134    ,      22915,                 ,   239,           68,         24763
Sony SON-PN361 Smart TV            , Smart TV         , Sony   , SON-PN361   ,      84644,                 ,    71,           92,        112301
HP HP-PN545 Smartwatch             , Smartwatch       , HP     , HP-PN545    ,      14641,                 ,    50,           29,         15675
Samsung SAM-JR957 Smart TV         , Smart TV         , Samsung, SAM-JR957   ,      64327,                 ,    10,           23,         83762
Lenovo LEN-AM977 Bluetooth Speaker , Bluetooth Speaker, Lenovo , LEN-AM977   ,       2792,                 ,   148,           90,          3026
Xiaomi XIA-SP166 Smartwatch        , Smartwatch       , Xiaomi , XIA-SP166   ,       4645,                 ,   214,           57,          5136
LG LG-DR091 Camera                 , Camera           , LG     , LG-DR091    ,     115158,                 ,   114,           40,        131675
Boat BOA-ID647 Mobile              , Mobile           , Boat   , BOA-ID647   ,       8708,                 ,    52,            9,         10134
Samsung SAM-SN594 Smart TV         , Smart TV         , Samsung, SAM-SN594   ,      77545,                 ,   116,           26,        100099
Dell DEL-YL556 Smart TV            , Smart TV         , Dell   , DEL-YL556   ,      33224,                 ,   243,           25,         36024
Lenovo LEN-QS612 Camera            , Camera           , Lenovo , LEN-QS612   ,      23070,                 ,   161,           91,         26624
HP HP-FZ222 Smartwatch             , Smartwatch       , HP     , HP-FZ222    ,       6600,                 ,   186,           51,          8092
Boat BOA-IJ972 Bluetooth Speaker   , Bluetooth Speaker, Boat   , BOA-IJ972   ,      18589,                 ,   198,           52,         20502
Canon CAN-RJ989 Mobile             , Mobile           , Canon  , CAN-RJ989   ,      25956,                 ,   176,           29,         34377
Sony SON-HH734 Camera              , Camera           , Sony   , SON-HH734   ,     109270,                 ,   153,           28,        123833
Boat BOA-FV252 Earbuds             , Earbuds          , Boat   , BOA-FV252   ,       6088,                 ,    80,           84,          7333
Canon CAN-TG092 Mobile             , Mobile           , Canon  , CAN-TG092   ,      25816,                 ,   117,           86,         28258
Samsung SAM-CI461 Laptop           , Laptop           , Samsung, SAM-CI461   ,      46566,                 ,    48,           71,         62820
Sony SON-KY841 Smartwatch          , Smartwatch       , Sony   , SON-KY841   ,      12984,                 ,   221,           87,         14840
Dell DEL-HB762 Earbuds             , Earbuds          , Dell   , DEL-HB762   ,       2982,                 ,   210,           62,          3318
Samsung SAM-XE819 Bluetooth Speaker, Bluetooth Speaker, Samsung, SAM-XE819   ,       3079,                 ,    48,           45,          3665
LG LG-UE782 Camera                 , Camera           , LG     , LG-UE782    ,     105397,                 ,    18,           18,        137118
Samsung SAM-HP934 Mobile           , Mobile           , Samsung, SAM-HP934   ,      39536,                 ,   174,           66,         50711
JBL JBL-NX152 Bluetooth Speaker    , Bluetooth Speaker, JBL    , JBL-NX152   ,       7645,                 ,   113,           94,          9038
Apple APP-IT670 Camera             , Camera           , Apple  , APP-IT670   ,      53565,                 ,   131,            1,         68542
HP HP-OT188 Earbuds                , Earbuds          , HP     , HP-OT188    ,       3835,                 ,   102,            3,          5018
LG LG-NC611 Camera                 , Camera           , LG     , LG-NC611    ,      93623,                 ,   210,           34,        105952
Xiaomi XIA-AJ423 Earbuds           , Earbuds          , Xiaomi , XIA-AJ423   ,       3951,                 ,    54,           92,          5097
Canon CAN-AQ601 Smartwatch         , Smartwatch       , Canon  , CAN-AQ601   ,      29399,                 ,    92,            8,         37183
Sony SON-KN873 Earbuds             , Earbuds          , Sony   , SON-KN873   ,       1332,                 ,    66,           88,          1619
Lenovo LEN-XH621 Mobile            , Mobile           , Lenovo , LEN-XH621   ,      36678,                 ,    71,           54,         45905
Boat BOA-TP454 Laptop              , Laptop           , Boat   , BOA-TP454   ,      56480,                 ,    66,           51,         72857
Lenovo LEN-VT657 Smartwatch        , Smartwatch       , Lenovo , LEN-VT657   ,      27160,                 ,     7,           34,         33054
Boat BOA-NJ918 Smartwatch          , Smartwatch       , Boat   , BOA-NJ918   ,      10970,                 ,    77,           32,         12318
Xiaomi XIA-OD351 Smartwatch        , Smartwatch       , Xiaomi , XIA-OD351   ,      18149,                 ,   195,           37,         23576
Canon CAN-MX401 Laptop             , Laptop           , Canon  , CAN-MX401   ,     111925,                 ,   175,           82,        127364
Boat BOA-OO630 Smart TV            , Smart TV         , Boat   , BOA-OO630   ,      26150,                 ,   160,           23,         32425
Samsung SAM-TP030 Earbuds          , Earbuds          , Samsung, SAM-TP030   ,       3656,                 ,   124,           19,          3867
Apple APP-ZM211 Mobile             , Mobile           , Apple  , APP-ZM211   ,      19859,                 ,    81,            2,         24682
Lenovo LEN-ZJ849 Bluetooth Speaker , Bluetooth Speaker, Lenovo , LEN-ZJ849   ,      11112,                 ,   147,           11,         14392
LG LG-CZ818 Smart TV               , Smart TV         , LG     , LG-CZ818    ,      35358,                 ,   214,           12,         41153
Sony SON-ZK198 Mobile              , Mobile           , Sony   , SON-ZK198   ,      20596,                 ,   221,            9,         23758
Samsung SAM-ZM743 Camera           , Camera           , Samsung, SAM-ZM743   ,     145273,                 ,    98,           86,        190063
Xiaomi XIA-LE187 Laptop            , Laptop           , Xiaomi , XIA-LE187   ,      42771,                 ,   201,           30,         46707
Lenovo LEN-KT802 Mobile            , Mobile           , Lenovo , LEN-KT802   ,      25063,                 ,   214,           96,         33725
Canon CAN-AP707 Mobile             , Mobile           , Canon  , CAN-AP707   ,      34529,                 ,    13,            9,         36488
Boat BOA-GF805 Smart TV            , Smart TV         , Boat   , BOA-GF805   ,      55367,                 ,    24,           73,         69743
Xiaomi XIA-VT356 Earbuds           , Earbuds          , Xiaomi , XIA-VT356   ,       6377,                 ,   237,            4,          7929
Xiaomi XIA-HD623 Earbuds           , Earbuds          , Xiaomi , XIA-HD623   ,       7309,                 ,   108,           98,          8827
JBL JBL-YW964 Mobile               , Mobile           , JBL    , JBL-YW964   ,      14996,                 ,   145,           85,         15828
Samsung SAM-ZY673 Smart TV         , Smart TV         , Samsung, SAM-ZY673   ,      58243,                 ,    33,           17,         69858
LG LG-DJ748 Smart TV               , Smart TV         , LG     , LG-DJ748    ,      42180,                 ,   121,           76,         52532
Sony SON-UX595 Earbuds             , Earbuds          , Sony   , SON-UX595   ,       2122,                 ,    85,           85,          2295
LG LG-GF698 Laptop                 , Laptop           , LG     , LG-GF698    ,      76226,                 ,   133,           91,        100618
JBL JBL-SE266 Mobile               , Mobile           , JBL    , JBL-SE266   ,      10263,                 ,   236,           53,         11548
Apple APP-ET754 Camera             , Camera           , Apple  , APP-ET754   ,      89182,                 ,   144,           26,        108979
Dell DEL-HX217 Camera              , Camera           , Dell   , DEL-HX217   ,     116332,                 ,   121,           46,        135519
Boat BOA-XS732 Bluetooth Speaker   , Bluetooth Speaker, Boat   , BOA-XS732   ,       4067,                 ,   192,           51,          5439
HP HP-JN325 Earbuds                , Earbuds          , HP     , HP-JN325    ,       5288,                 ,    25,           29,          6509
Boat BOA-CZ489 Smart TV            , Smart TV         , Boat   , BOA-CZ489   ,      77492,                 ,    10,           36,        100826
Dell DEL-KO212 Earbuds             , Earbuds          , Dell   , DEL-KO212   ,       1636,                 ,   231,           99,          2071
Canon CAN-SH125 Smartwatch         , Smartwatch       , Canon  , CAN-SH125   ,      20717,                 ,   110,           24,         24711
Boat BOA-OY374 Laptop              , Laptop           , Boat   , BOA-OY374   ,      29853,                 ,    55,           33,         32554
Lenovo LEN-TL731 Bluetooth Speaker , Bluetooth Speaker, Lenovo , LEN-TL731   ,       8715,                 ,   210,           99,         10562
Boat BOA-EX995 Smartwatch          , Smartwatch       , Boat   , BOA-EX995   ,      18850,                 ,   108,           98,         24578
Apple APP-YR748 Camera             , Camera           , Apple  , APP-YR748   ,     147596,                 ,    39,           17,        170224
Apple APP-SA536 Laptop             , Laptop           , Apple  , APP-SA536   ,      79912,                 ,   170,           42,         95786
Canon CAN-XR054 Bluetooth Speaker  , Bluetooth Speaker, Canon  , CAN-XR054   ,      13312,                 ,   130,           44,         14961
JBL JBL-SN256 Mobile               , Mobile           , JBL    , JBL-SN256   ,      15650,                 ,    97,           12,         17710
Sony SON-CC115 Smart TV            , Smart TV         , Sony   , SON-CC115   ,      71474,                 ,   186,           49,         81793
Dell DEL-GK345 Camera              , Camera           , Dell   , DEL-GK345   ,      51408,                 ,    46,           12,         60856
Xiaomi XIA-HV096 Bluetooth Speaker , Bluetooth Speaker, Xiaomi , XIA-HV096   ,       2341,                 ,    82,            8,          3130
Apple APP-KJ467 Mobile             , Mobile           , Apple  , APP-KJ467   ,      18254,                 ,   214,           80,         23583
Boat BOA-VQ399 Mobile              , Mobile           , Boat   , BOA-VQ399   ,      11319,                 ,    88,           12,         12732
Samsung SAM-FX652 Smartwatch       , Smartwatch       , Samsung, SAM-FX652   ,      14918,                 ,   232,           26,         18766
Lenovo LEN-YX509 Mobile            , Mobile           , Lenovo , LEN-YX509   ,      33935,                 ,   198,           17,         42814
Samsung SAM-YP773 Earbuds          , Earbuds          , Samsung, SAM-YP773   ,       4490,                 ,    85,            7,          5463
HP HP-EG838 Mobile                 , Mobile           , HP     , HP-EG838    ,      43198,                 ,   136,           48,         54396
LG LG-TD975 Earbuds                , Earbuds          , LG     , LG-TD975    ,       2021,                 ,   220,           82,          2377
Samsung SAM-CG066 Earbuds          , Earbuds          , Samsung, SAM-CG066   ,       3794,                 ,   166,           99,          4964
LG LG-ZI674 Smartwatch             , Smartwatch       , LG     , LG-ZI674    ,       7497,                 ,   102,           17,          9046
Dell DEL-OJ153 Laptop              , Laptop           , Dell   , DEL-OJ153   ,     114613,                 ,   226,           60,        140845
Canon CAN-HG023 Camera             , Camera           , Canon  , CAN-HG023   ,     149055,                 ,   214,           39,        176229
Lenovo LEN-EK309 Camera            , Camera           , Lenovo , LEN-EK309   ,     109071,                 ,    92,           86,        132177
Dell DEL-TC045 Smart TV            , Smart TV         , Dell   , DEL-TC045   ,      27564,                 ,    15,           42,         34117
LG LG-CC557 Smartwatch             , Smartwatch       , LG     , LG-CC557    ,      12323,                 ,    54,           99,         13800
LG LG-AK775 Camera                 , Camera           , LG     , LG-AK775    ,     140341,                 ,    12,           13,        147368
Canon CAN-NR122 Laptop             , Laptop           , Canon  , CAN-NR122   ,      73543,                 ,   122,           39,         97795
Apple APP-EH273 Laptop             , Laptop           , Apple  , APP-EH273   ,      41371,                 ,   240,           93,         44093
Lenovo LEN-MQ410 Laptop            , Laptop           , Lenovo , LEN-MQ410   ,      98972,                 ,    15,           56,        118166
Dell DEL-VJ844 Smart TV            , Smart TV         , Dell   , DEL-VJ844   ,      78606,                 ,   157,           25,         91928
Lenovo LEN-ZD392 Camera            , Camera           , Lenovo , LEN-ZD392   ,      39574,                 ,   132,           65,         46555
Sony SON-ZZ264 Earbuds             , Earbuds          , Sony   , SON-ZZ264   ,       4260,                 ,   141,           30,          4614
Xiaomi XIA-IH739 Smartwatch        , Smartwatch       , Xiaomi , XIA-IH739   ,       5033,                 ,   189,           37,          5732
Canon CAN-ZE707 Laptop             , Laptop           , Canon  , CAN-ZE707   ,      65600,                 ,   180,           79,         74336
Xiaomi XIA-LH687 Bluetooth Speaker , Bluetooth Speaker, Xiaomi , XIA-LH687   ,       3632,                 ,   120,           88,          3932
Lenovo LEN-MQ267 Smart TV          , Smart TV         , Lenovo , LEN-MQ267   ,      63001,                 ,   228,           43,         81233
LG LG-BZ445 Camera                 , Camera           , LG     , LG-BZ445    ,     146878,                 ,    45,           88,        192958
LG LG-OU385 Camera                 , Camera           , LG     , LG-OU385    ,      49636,                 ,   198,           52,         66847
Apple APP-CG616 Bluetooth Speaker  , Bluetooth Speaker, Apple  , APP-CG616   ,      17220,                 ,   116,           74,         21437
Lenovo LEN-RK794 Smartwatch        , Smartwatch       , Lenovo , LEN-RK794   ,      10274,                 ,   217,           41,         11331
Apple APP-GN555 Mobile             , Mobile           , Apple  , APP-GN555   ,      33376,                 ,   119,            6,         44629
Dell DEL-KU553 Smart TV            , Smart TV         , Dell   , DEL-KU553   ,      70948,                 ,   214,           49,         87899
Boat BOA-CK919 Mobile              , Mobile           , Boat   , BOA-CK919   ,      17362,                 ,   240,           61,         21341
Dell DEL-IL244 Laptop              , Laptop           , Dell   , DEL-IL244   ,      67874,                 ,   177,           82,         79336
Boat BOA-IH818 Smart TV            , Smart TV         , Boat   , BOA-IH818   ,      46685,                 ,     2,           32,         62973
Apple APP-RE921 Bluetooth Speaker  , Bluetooth Speaker, Apple  , APP-RE921   ,       8906,                 ,   119,           89,          9950
Dell DEL-OY241 Laptop              , Laptop           , Dell   , DEL-OY241   ,      84720,                 ,   100,           98,        111701
Lenovo LEN-LA615 Bluetooth Speaker , Bluetooth Speaker, Lenovo , LEN-LA615   ,      18674,                 ,    66,           92,         24523
Samsung SAM-SF780 Smart TV         , Smart TV         , Samsung, SAM-SF780   ,      85160,                 ,   225,           76,         90551
JBL JBL-EI428 Mobile               , Mobile           , JBL    , JBL-EI428   ,      34841,                 ,    39,           25,         45044
Lenovo LEN-IK313 Smartwatch        , Smartwatch       , Lenovo , LEN-IK313   ,      28994,                 ,   215,           79,         31200
Canon CAN-ER895 Smart TV           , Smart TV         , Canon  , CAN-ER895   ,      89669,                 ,   132,           48,        101140
Sony SON-IG131 Bluetooth Speaker   , Bluetooth Speaker, Sony   , SON-IG131   ,      14913,                 ,    36,           60,         18041
LG LG-PO445 Smart TV               , Smart TV         , LG     , LG-PO445    ,      29903,                 ,   196,           77,         37527
Sony SON-OM134 Bluetooth Speaker   , Bluetooth Speaker, Sony   , SON-OM134   ,      13880,                 ,    44,           96,         14830
Dell DEL-YM135 Mobile              , Mobile           , Dell   , DEL-YM135   ,       8396,                 ,    66,           56,         11099
Boat BOA-KM741 Bluetooth Speaker   , Bluetooth Speaker, Boat   , BOA-KM741   ,      12303,                 ,    90,           77,         15420
Samsung SAM-UF022 Smartwatch       , Smartwatch       , Samsung, SAM-UF022   ,       4312,                 ,   146,           80,          5664
Boat BOA-OU455 Camera              , Camera           , Boat   , BOA-OU455   ,      34623,                 ,    58,           59,         38901
JBL JBL-VJ807 Earbuds              , Earbuds          , JBL    , JBL-VJ807   ,       7459,                 ,   106,           45,          9417
Xiaomi XIA-ZC872 Smartwatch        , Smartwatch       , Xiaomi , XIA-ZC872   ,      29292,                 ,   190,           27,         36733
Boat BOA-GW081 Mobile              , Mobile           , Boat   , BOA-GW081   ,       8469,                 ,   132,           45,          9373
Xiaomi XIA-FT686 Camera            , Camera           , Xiaomi , XIA-FT686   ,      89553,                 ,    30,           23,        106535
Sony SON-QU885 Smart TV            , Smart TV         , Sony   , SON-QU885   ,      22719,                 ,   157,           39,         26139
HP HP-PE925 Smartwatch             , Smartwatch       , HP     , HP-PE925    ,       6998,                 ,     1,           78,          7350
JBL JBL-ZR097 Camera               , Camera           , JBL    , JBL-ZR097   ,     107124,                 ,   193,           96,        120793
HP HP-WD827 Mobile                 , Mobile           , HP     , HP-WD827    ,      36220,                 ,   112,           17,         44734
Xiaomi XIA-TR452 Camera            , Camera           , Xiaomi , XIA-TR452   ,      46575,                 ,   239,           70,         60342
LG LG-LQ805 Smart TV               , Smart TV         , LG     , LG-LQ805    ,      67517,                 ,   232,           96,         71266
Dell DEL-LM588 Earbuds             , Earbuds          , Dell   , DEL-LM588   ,       5589,                 ,    59,           79,          6441
Boat BOA-QS873 Mobile              , Mobile           , Boat   , BOA-QS873   ,      31821,                 ,    21,           68,         40607
Xiaomi XIA-MI251 Smart TV          , Smart TV         , Xiaomi , XIA-MI251   ,      65539,                 ,   218,           64,         70149
Boat BOA-UX706 Camera              , Camera           , Boat   , BOA-UX706   ,     138797,                 ,   117,           65,        175241
Boat BOA-AY149 Camera              , Camera           , Boat   , BOA-AY149   ,      35953,                 ,   209,           50,         38556
Xiaomi XIA-ZX838 Smart TV          , Smart TV         , Xiaomi , XIA-ZX838   ,      43821,                 ,    28,           76,         58809
Apple APP-RG391 Earbuds            , Earbuds          , Apple  , APP-RG391   ,       4247,                 ,   179,           76,          5284
Lenovo LEN-HS267 Smart TV          , Smart TV         , Lenovo , LEN-HS267   ,      77372,                 ,   133,           79,         81754
Xiaomi XIA-MD260 Mobile            , Mobile           , Xiaomi , XIA-MD260   ,      33570,                 ,   214,           26,         37791
Dell DEL-VZ410 Bluetooth Speaker   , Bluetooth Speaker, Dell   , DEL-VZ410   ,      12745,                 ,    28,            4,         14428
Apple APP-SC381 Smart TV           , Smart TV         , Apple  , APP-SC381   ,      34288,                 ,   232,           39,         37053
Sony SON-QR056 Camera              , Camera           , Sony   , SON-QR056   ,      56846,                 ,    74,           32,         73773
Boat BOA-JF796 Laptop              , Laptop           , Boat   , BOA-JF796   ,      85545,                 ,    83,           22,        109655
Xiaomi XIA-CC753 Smart TV          , Smart TV         , Xiaomi , XIA-CC753   ,      42042,                 ,   125,           56,         55092
Dell DEL-UG626 Smart TV            , Smart TV         , Dell   , DEL-UG626   ,      53756,                 ,   207,           59,         71661
Canon CAN-HY088 Bluetooth Speaker  , Bluetooth Speaker, Canon  , CAN-HY088   ,      17133,                 ,   196,            3,         21896
JBL JBL-PE367 Laptop               , Laptop           , JBL    , JBL-PE367   ,      30626,                 ,   123,           38,         35918
Xiaomi XIA-MC455 Camera            , Camera           , Xiaomi , XIA-MC455   ,     148052,                 ,   240,           25,        164353
Dell DEL-YD853 Mobile              , Mobile           , Dell   , DEL-YD853   ,      23175,                 ,    14,           80,         26895
Sony SON-TY700 Bluetooth Speaker   , Bluetooth Speaker, Sony   , SON-TY700   ,       2607,                 ,   216,           17,          2861
Xiaomi XIA-BB756 Earbuds           , Earbuds          , Xiaomi , XIA-BB756   ,       4176,                 ,    78,           27,          5357
LG LG-LK651 Smartwatch             , Smartwatch       , LG     , LG-LK651    ,      16997,                 ,   198,            3,         20551
HP HP-CX913 Mobile                 , Mobile           , HP     , HP-CX913    ,      23343,                 ,    23,           60,         26570
Lenovo LEN-TQ634 Smartwatch        , Smartwatch       , Lenovo , LEN-TQ634   ,      23857,                 ,    45,           15,         29463
Xiaomi XIA-BC446 Camera            , Camera           , Xiaomi , XIA-BC446   ,      83760,                 ,   198,           17,         87978
Lenovo LEN-TT177 Earbuds           , Earbuds          , Lenovo , LEN-TT177   ,       4465,                 ,   227,            9,          5606
Boat BOA-YN771 Laptop              , Laptop           , Boat   , BOA-YN771   ,      90455,                 ,    62,           86,        108317
HP HP-TD834 Laptop                 , Laptop           , HP     , HP-TD834    ,      30109,                 ,   129,           88,         34558
Apple APP-GZ645 Smartwatch         , Smartwatch       , Apple  , APP-GZ645   ,      19967,                 ,   204,           81,         22824
Boat BOA-WE178 Mobile              , Mobile           , Boat   , BOA-WE178   ,      42935,                 ,   221,           64,         51066
Apple APP-FN082 Bluetooth Speaker  , Bluetooth Speaker, Apple  , APP-FN082   ,      18773,                 ,   165,           32,         25201
Dell DEL-JD985 Smart TV            , Smart TV         , Dell   , DEL-JD985   ,      26154,                 ,    32,           41,         32914
Lenovo LEN-KI472 Bluetooth Speaker , Bluetooth Speaker, Lenovo , LEN-KI472   ,      18162,                 ,    87,           41,         21688
Canon CAN-JN918 Mobile             , Mobile           , Canon  , CAN-JN918   ,      44559,                 ,    53,           86,         47032
LG LG-BM283 Mobile                 , Mobile           , LG     , LG-BM283    ,      36811,                 ,   201,           40,         46409
Boat BOA-AF536 Smartwatch          , Smartwatch       , Boat   , BOA-AF536   ,      25431,                 ,    96,            2,         33883
Dell DEL-PM719 Smart TV            , Smart TV         , Dell   , DEL-PM719   ,      26368,                 ,   204,           30,         28381
Xiaomi XIA-DY056 Camera            , Camera           , Xiaomi , XIA-DY056   ,     127755,                 ,   102,           66,        147856
Samsung SAM-YA687 Bluetooth Speaker, Bluetooth Speaker, Samsung, SAM-YA687   ,      16525,                 ,   173,           15,         20164
Xiaomi XIA-NG409 Mobile            , Mobile           , Xiaomi , XIA-NG409   ,       9041,                 ,   171,           49,          9604
HP HP-CX857 Bluetooth Speaker      , Bluetooth Speaker, HP     , HP-CX857    ,      19279,                 ,   194,            6,         23923
Boat BOA-ZC018 Earbuds             , Earbuds          , Boat   , BOA-ZC018   ,       2556,                 ,   102,           95,          3401
Canon CAN-OL922 Mobile             , Mobile           , Canon  , CAN-OL922   ,      32015,                 ,   203,            8,         36485
LG LG-ST320 Earbuds                , Earbuds          , LG     , LG-ST320    ,       4411,                 ,    61,           84,          5576
Sony SON-UP114 Laptop              , Laptop           , Sony   , SON-UP114   ,      38629,                 ,   126,            7,         47655
Apple APP-NZ232 Smart TV           , Smart TV         , Apple  , APP-NZ232   ,      66163,                 ,   133,           58,         80447
Apple APP-ER860 Mobile             , Mobile           , Apple  , APP-ER860   ,      22405,                 ,     2,           41,         26565
Dell DEL-DS930 Camera              , Camera           , Dell   , DEL-DS930   ,     110081,                 ,   209,           12,        130069
HP HP-VE985 Earbuds                , Earbuds          , HP     , HP-VE985    ,       2634,                 ,    24,           45,          3279
Xiaomi XIA-CC710 Smartwatch        , Smartwatch       , Xiaomi , XIA-CC710   ,      20650,                 ,    54,          100,         23040
Xiaomi XIA-DV366 Camera            , Camera           , Xiaomi , XIA-DV366   ,      85316,                 ,   118,           53,         94243
Canon CAN-GV009 Smartwatch         , Smartwatch       , Canon  , CAN-GV009   ,       7790,                 ,    43,           82,          8281
Sony SON-CW819 Smart TV            , Smart TV         , Sony   , SON-CW819   ,      36082,                 ,    95,           56,         40359
Sony SON-YL743 Mobile              , Mobile           , Sony   , SON-YL743   ,       8920,                 ,   155,           74,         10686
Sony SON-JX241 Smart TV            , Smart TV         , Sony   , SON-JX241   ,      28946,                 ,    92,           54,         36300
Canon CAN-QQ484 Smartwatch         , Smartwatch       , Canon  , CAN-QQ484   ,      25462,                 ,   134,           76,         28290
HP HP-JK672 Mobile                 , Mobile           , HP     , HP-JK672    ,      13005,                 ,   185,           61,         17403
JBL JBL-UZ735 Camera               , Camera           , JBL    , JBL-UZ735   ,      89131,                 ,   219,           20,        110400
Dell DEL-XN313 Smart TV            , Smart TV         , Dell   , DEL-XN313   ,      59063,                 ,   178,           96,         71642
Samsung SAM-XU095 Laptop           , Laptop           , Samsung, SAM-XU095   ,      90128,                 ,   116,           98,        106493
Canon CAN-ZZ162 Camera             , Camera           , Canon  , CAN-ZZ162   ,      58585,                 ,   163,            6,         72019
Samsung SAM-TY593 Camera           , Camera           , Samsung, SAM-TY593   ,      44426,                 ,   245,           12,         54542
Sony SON-EP869 Camera              , Camera           , Sony   , SON-EP869   ,     141503,                 ,   224,           99,        184067
Dell DEL-YO519 Mobile              , Mobile           , Dell   , DEL-YO519   ,      25975,                 ,   221,           87,         30432
JBL JBL-IM022 Smart TV             , Smart TV         , JBL    , JBL-IM022   ,      31561,                 ,    77,            2,         35388
Boat BOA-AX217 Smartwatch          , Smartwatch       , Boat   , BOA-AX217   ,       3374,                 ,   165,           41,          3960
Dell DEL-BD711 Camera              , Camera           , Dell   , DEL-BD711   ,     111059,                 ,    13,           89,        130106
Dell DEL-YJ931 Smartwatch          , Smartwatch       , Dell   , DEL-YJ931   ,       6155,                 ,    69,           17,          7557
Dell DEL-DE979 Earbuds             , Earbuds          , Dell   , DEL-DE979   ,       3438,                 ,    27,           66,          3931
Dell DEL-EZ697 Bluetooth Speaker   , Bluetooth Speaker, Dell   , DEL-EZ697   ,      11238,                 ,   203,           56,         13783
Lenovo LEN-PE361 Laptop            , Laptop           , Lenovo , LEN-PE361   ,      37588,                 ,    30,           11,         42140
Samsung SAM-YY399 Bluetooth Speaker, Bluetooth Speaker, Samsung, SAM-YY399   ,      12970,                 ,    79,           74,         15338
Sony SON-PX925 Mobile              , Mobile           , Sony   , SON-PX925   ,      11724,                 ,    93,            1,         13495
Sony SON-IC336 Smart TV            , Smart TV         , Sony   , SON-IC336   ,      26276,                 ,   170,           76,         29550
Lenovo LEN-QX422 Mobile            , Mobile           , Lenovo , LEN-QX422   ,      29040,                 ,   117,           84,         32692
Dell DEL-GC037 Mobile              , Mobile           , Dell   , DEL-GC037   ,      25576,                 ,   174,           76,         31500
